NE-2018-1215977,MME-18-238Pv,NER18-02235,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Scarborough,Cumberland,ME,Atlantic Ocean,29 Massacre Ln,43.5902,decimal degrees,actual,-70.3345,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-AUG-04,2018,AUG,4,Beach or Land,,,Fresh Dead,Y,2018-AUG-4,2018,AUG,4,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,136,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for disposal,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Scarborough,1509,29 Massacre Ln,43.5902,actual,-70.3345,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1204434,MME-18-287Pv,NER18-00561,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,Crescent Beach,43.562941,decimal degrees,actual,-70.219406,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,N,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-13,2018,AUG,13,Beach or Land,,,Alive,Y,2018-AUG-13,2018,AUG,13,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,,,100,cm,actual,24.6,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,43815.40503,66995,,N,2018-AUG-13,Marine Mammals of Maine,100,cm,actual,24.6,kg,actual,,,,,N,N,N,,,,,,,,,,100,cm,actual,24.6,kg,actual,Yearling,,N,,,,N,,,,,Y,Y,2018-AUG-15,Marine Mammals of Maine,"Upper respiratory infection, pneumonia",,Y,complete,fresh,2018-AUG-16,Marine Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,43343.72108,,,3,GE-2018-0003,,Beach or Land,35,212,Cape Elizabeth,1509,Crescent Beach,43.562941,actual,-70.219406,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215545,MME-18-320Pv,NER18-02103,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,Ram Island Farm,43.553346,decimal degrees,actual,-70.251886,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-14,2018,AUG,14,Beach or Land,,,Alive,Y,2018-AUG-14,2018,AUG,14,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,FEMALE,YEARLING,,,104,cm,actual,26.7,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-16,2018,AUG,16,Marine Mammals of Maine,"yearling, great weight and overall body condition but very lethargic, labored breathing",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Cape Elizabeth,1509,Ram Island Farm,43.553346,actual,-70.251886,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215602,MME-18-345Pv,NER18-02125,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kittery,York,ME,Atlantic Ocean,Appledore Island,42.991813,decimal degrees,actual,-70.616303,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-AUG-16,2018,AUG,16,Beach or Land,,,Advanced Decomposition,Y,2018-AUG-16,2018,AUG,16,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,160,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Deceased adult Pv, missing 70% of fur, most of body burnt, reported by Shoals Marine Lab, LAS.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Kittery,1509,Appledore Island,42.991813,actual,-70.616303,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215896,MME-18-375Pv,NER18-02158,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Phippsburg,Sagadahoc,ME,Atlantic Ocean,Head Beach,43.718888,decimal degrees,actual,-69.851201,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,Y,,,,2018-AUG-17,2018,AUG,17,Beach or Land,,,Fresh Dead,Y,2018-AUG-17,2018,AUG,17,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,119.2,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for necropsy,,,,,,Y,complete,fresh,2018-Aug-17,2018,AUG,17,MMoME & Tufts,"Animal just went through a molt, fresh dead. Necropsied 8/17/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,659,Phippsburg,1509,Head Beach,43.718888,actual,-69.851201,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215903,MME-18-385Pv,NER18-02165,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Curtis Cove,43.40705,decimal degrees,actual,-70.3931,decimal degrees,actual,Internet,,,,,,,,,,CBD,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,Y,,,,2018-AUG-18,2018,AUG,18,Beach or Land,,,Alive,Y,2018-AUG-18,2018,AUG,18,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,FEMALE,YEARLING,Y,,83,cm,actual,11.6,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-21,2018,AUG,21,MMoME & Tufts,"Animal was alert but was very lethargic, many infected puncture wounds, black tar feces. Euthanized 8/18/18. Necropsied 8/21/19.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,Curtis Cove,43.40705,actual,-70.3931,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215923,MME-18-395Pv,NER18-02184,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,East Boothbay,Lincoln,ME,Atlantic Ocean,Ocean Point Rd,43.81923,decimal degrees,actual,-69.6044,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,,,Y,,,,2018-AUG-18,2018,AUG,18,Beach or Land,,,Fresh Dead,Y,2018-AUG-18,2018,AUG,18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,YEARLING,Y,,96.5,cm,actual,16.9,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for necropsy,,,,,,Y,complete,fresh,2018-Aug-21,2018,AUG,21,MMoME & Tufts,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,422,East Boothbay,1509,Ocean Point Rd,43.81923,actual,-69.6044,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215968,MME-18-435Pv,NER18-02226,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Ogunquit,York,ME,Atlantic Ocean,Ogunquit Beach,43.26758,decimal degrees,actual,-70.5891,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,Y,,,,2018-AUG-20,2018,AUG,20,Beach or Land,,,Alive,Y,2018-AUG-20,2018,AUG,20,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,Y,,88.5,cm,actual,15.6,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-21,2018,AUG,21,MMoME & Tufts,"Thin, green nasal discharge, labored breathing, coughing, sneezing, lethargic, swollen right rear flipper. Euthanized.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Ogunquit,1509,Ogunquit Beach,43.26758,actual,-70.5891,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215970,MME-18-439Pv,NER18-02228,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,York,York,ME,Atlantic Ocean,Nubble Lighthouse,43.16477,decimal degrees,actual,-70.5938,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-AUG-21,2018,AUG,21,Beach or Land,,,Fresh Dead,Y,2018-AUG-21,2018,AUG,21,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,Y,,138.5,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for Necropsy,,,,,,Y,limited,fresh,2018-Aug-21,2018,AUG,21,MMoME,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,York,1509,Nubble Lighthouse,43.16477,actual,-70.5938,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216243,MME-18-484Pv,NER18-02275,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Harpswell,Cumberland,ME,Atlantic Ocean,Eagle Island,43.71307,decimal degrees,actual,-70.0525,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,,,Y,,,,2018-AUG-25,2018,AUG,25,Beach or Land,,,Fresh Dead,Y,2018-Aug-26,2018,AUG,26,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,113,cm,actual,26.9,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for Necropsy,,,,,,Y,complete,fresh,2018-Aug-27,2018,AUG,27,Tufts,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Harpswell,1509,Eagle Island,43.71307,actual,-70.0525,actual,Internet,,,,,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216250,MME-18-488Pv,NER18-02277,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Harpswell,Cumberland,ME,Atlantic Ocean,Eagle Island,43.71307,decimal degrees,actual,-70.0525,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,,,Y,,,,2018-AUG-26,2018,AUG,26,Beach or Land,,,Moderate Decomposition,Y,2018-AUG-26,2018,AUG,26,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,135,cm,actual,52.6,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for Necropsy,,,,,,Y,complete,fresh,2018-Aug-26,2018,AUG,26,MMoME & Tufts,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Harpswell,1509,Eagle Island,43.71307,actual,-70.0525,actual,Internet,,,,,3,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216280,MME-18-509Pv,NER18-02298,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Harpswell,Cumberland,ME,Atlantic Ocean,Ash Point,43.7438,decimal degrees,actual,-70.0321,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-AUG-26,2018,AUG,26,Beach or Land,,,Moderate Decomposition,Y,2018-AUG-26,2018,AUG,26,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,138.5,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Harpswell,1509,Ash Point,43.7438,actual,-70.0321,actual,Internet,,,,,,,,,,Y,UME swab samples,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216285,MME-18-514Pv,NER18-02303,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Wells,York,ME,Atlantic Ocean,Moody Beach,43.28094,decimal degrees,actual,-70.5779,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Repeatedly pushed in to water,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-27,2018,AUG,27,Beach or Land,,,Alive,Y,2018-AUG-27,2018,AUG,27,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,FEMALE,YEARLING,,,81.5,cm,actual,12.2,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-28,2018,AUG,28,MMoME + Tufts,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Wells,1509,Moody Beach,43.28094,actual,-70.5779,actual,Internet,,,,,2,,,,,,,N,Suspect,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216365,MME-18-539Pv,NER18-02326,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammal Stranding Center,,,,NE,United States,Kennebunk,York,ME,Atlantic Ocean,Crescent Beach,43.34064,decimal degrees,actual,-70.5275,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,,,,,,,,Y,,,,,,2018-AUG-29,2018,AUG,29,Beach or Land,,,Fresh Dead,Y,2018-AUG-29,2018,AUG,29,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,134,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-31,2018,AUG,31,Tufts University,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Kennebunk,1509,Crescent Beach,43.34064,actual,-70.5275,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216415,MME-18-552Pv,NER18-02337,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Goose Rocks Beach,43.40137,decimal degrees,actual,-70.4058,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,people poked with stick while still alive to get back in to water,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-29,2018,AUG,29,Beach or Land,,,Alive,Y,2018-AUG-29,2018,AUG,29,Alive,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,ADULT,Y,,147,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Aug-31,2018,AUG,31,Tufts University,"Very lethargic, tide rolling over top of animal, died during collection",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Kennebunkport,1509,Goose Rocks Beach,43.40137,actual,-70.4058,actual,Internet,,,,,2,,,,,,,N,Improbable,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216441,MME-18-568Pv,NER18-02363,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,York,York,ME,Atlantic Ocean,Long Sands Beach,43.16199,decimal degrees,actual,-70.6198,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-31,2018,AUG,31,Beach or Land,,,Alive,Y,2018-AUG-31,2018,AUG,31,Alive,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,MALE,YEARLING,,,82,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Sep-01,2018,SEP,1,MMoME + AMCS,"Lethargic, in and out of the water but always hauling out in same spot shortly after, collected for euthanasia but died in transport, molting",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,York,1509,Long Sands Beach,43.16199,actual,-70.6198,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216439,MME-18-566Pv,NER18-02361,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Phippsburg,Sagadahoc,ME,Atlantic Ocean,Seal Lane,43.71572,decimal degrees,actual,-69.8362,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-AUG-31,2018,AUG,31,Beach or Land,,,Alive,Y,2018-AUG-31,2018,AUG,31,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,FEMALE,YEARLING,,,101.5,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Sep-01,2018,SEP,1,MMoME + AMCS,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,659,Phippsburg,1509,Seal Lane,43.71572,actual,-69.8362,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216465,MME-18-583Pv,NER18-02385,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Ocean Ave,43.44295,decimal degrees,actual,-70.3397,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-SEP-01,2018,SEP,1,Beach or Land,,,Alive,Y,2018-Sep-02,2018,SEP,2,Alive,Y,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,,,,,,MALE,YEARLING,,,87.5,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME + NOAA,"Reported 9/1/2018, still there 9/2/2018, responded, went back in water, re-stranded 9/3/2018, collected for humane euthanasia",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,Ocean Ave,43.44295,actual,-70.3397,actual,Internet,,,,,2,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216475,MME-18-590Pv,NER18-02395,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,York,York,ME,Atlantic Ocean,Nubble Lighthouse,43.16553,decimal degrees,actual,-70.5926,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,large crowd around seal,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-SEP-02,2018,SEP,2,Beach or Land,,,Alive,Y,2018-SEP-2,2018,SEP,2,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,,,98,cm,actual,,,notMeasured,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME + NOAA,"Coughing and sneezing on beach, very lethargic",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,York,1509,Nubble Lighthouse,43.16553,actual,-70.5926,actual,Internet,,,,,2,,,,,,,N,Improbable,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216438,MME-18-623Pv,NER18-02360,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Harpswell,Cumberland,ME,Atlantic Ocean,1427 Harpswell Island Rd.,43.76696,decimal degrees,actual,-69.9614,decimal degrees,actual,Internet,,,,,,,,,,Y,N,N,N,,Y,Harassment- Flushed into water,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,Y,,,,2018-SEP-03,2018,SEP,3,Beach or Land,,,Alive,Y,2018-SEP-3,2018,SEP,3,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,Y,,89,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,"Pv hauled out on rocks, moving up on ledge with incoming tide. When assessed in field, noticed RRF was enlarged, had puncture wounds with pus near tail and on flipper. Euthanized. Frozen for later necropsy. Necropsied 10/6/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Harpswell,1509,1427 Harpswell Island Rd.,43.76696,actual,-69.9614,actual,Internet,,,,,2,,Y,Y,,,,N,Improbable,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
